 MAB conc./(mg/mL)     viscosity/cP
 132.57071   7.97279
 132.73937   7.99691
 132.90804   8.02111
 133.07670   8.04539
 133.24537   8.06974
 133.41403   8.09418
 133.58270   8.11869
 133.75136   8.14329
 133.92003   8.16796
 134.08869   8.19272
 134.25736   8.21755
 134.42602   8.24247
 134.59469   8.26747
 134.76335   8.29255
 134.93202   8.31771
 135.10068   8.34295
 135.26935   8.36828
 135.43801   8.39369
 135.60668   8.41918
 135.77534   8.44475
 135.94401   8.47041
 136.11267   8.49615
 136.28134   8.52198
 136.45000   8.54789
 136.61867   8.57388
 136.78733   8.59996
 136.95600   8.62613
 137.12466   8.65238
 137.29333   8.67872
 137.46199   8.70514
 137.63066   8.73165
 137.79932   8.75824
 137.96799   8.78492
 138.13665   8.81169
 138.30532   8.83855
 138.47398   8.86549
 138.64265   8.89253
 138.81131   8.91965
 138.97998   8.94686
 139.14864   8.97416
 139.31731   9.00155
 139.48597   9.02902
 139.65464   9.05659
 139.82330   9.08425
 139.99197   9.11200
 140.16063   9.13984
 140.32930   9.16777
 140.49796   9.19579
 140.66663   9.22390
 140.83529   9.25211
 141.00396   9.28041
 141.17262   9.30880
 141.34129   9.33729
 141.50995   9.36586
 141.67862   9.39454
 141.84728   9.42330
 142.01595   9.45216
 142.18461   9.48112
 142.35328   9.51017
 142.52194   9.53931
 142.69061   9.56855
 142.85927   9.59789
 143.02794   9.62732
 143.19660   9.65685
 143.36527   9.68648
 143.53393   9.71620
 143.70260   9.74602
 143.87126   9.77594
 144.03993   9.80596
 144.20859   9.83607
 144.37726   9.86629
 144.54592   9.89660
 144.71459   9.92702
 144.88325   9.95753
 145.05192   9.98815
 145.22058  10.01886
 145.38925  10.04968
 145.55791  10.08060
 145.72658  10.11162
 145.89524  10.14274
 146.06391  10.17396
 146.23257  10.20529
 146.40124  10.23672
 146.56990  10.26825
 146.73857  10.29989
 146.90723  10.33163
 147.07590  10.36347
 147.24456  10.39542
 147.41323  10.42748
 147.58189  10.45964
 147.75056  10.49191
 147.91922  10.52428
 148.08789  10.55676
 148.25655  10.58935
 148.42522  10.62205
 148.59388  10.65485
 148.76255  10.68776
 148.93121  10.72078
 149.09988  10.75391
 149.26854  10.78715
 149.43721  10.82049
 149.60587  10.85395
 149.77454  10.88752
 149.94320  10.92120
 150.11187  10.95499
 150.28053  10.98889
 150.44920  11.02290
 150.61786  11.05703
 150.78653  11.09127
 150.95519  11.12562
 151.12386  11.16008
 151.29252  11.19466
 151.46119  11.22936
 151.62985  11.26417
 151.79852  11.29909
 151.96718  11.33413
 152.13585  11.36928
 152.30451  11.40455
 152.47318  11.43994
 152.64184  11.47544
 152.81051  11.51107
 152.97917  11.54681
 153.14784  11.58266
 153.31650  11.61864
 153.48517  11.65474
 153.65383  11.69095
 153.82250  11.72729
 153.99116  11.76374
 154.15983  11.80032
 154.32849  11.83702
 154.49716  11.87384
 154.66582  11.91078
 154.83449  11.94784
 155.00315  11.98503
 155.17182  12.02234
 155.34048  12.05977
 155.50915  12.09733
 155.67781  12.13501
 155.84648  12.17282
 156.01514  12.21075
 156.18381  12.24881
 156.35247  12.28700
 156.52114  12.32531
 156.68980  12.36375
 156.85847  12.40231
 157.02713  12.44101
 157.19580  12.47983
 157.36446  12.51878
 157.53313  12.55786
 157.70179  12.59707
 157.87046  12.63641
 158.03912  12.67589
 158.20779  12.71549
 158.37645  12.75522
 158.54512  12.79509
 158.71378  12.83509
 158.88245  12.87522
 159.05111  12.91549
 159.21978  12.95589
 159.38844  12.99642
 159.55711  13.03709
 159.72577  13.07789
 159.89444  13.11883
 160.06310  13.15991
 160.23177  13.20112
 160.40043  13.24247
 160.56910  13.28396
 160.73776  13.32559
 160.90643  13.36735
 161.07509  13.40926
 161.24376  13.45130
 161.41242  13.49348
 161.58109  13.53581
 161.74975  13.57827
 161.91842  13.62088
 162.08708  13.66363
 162.25575  13.70652
 162.42441  13.74955
 162.59308  13.79273
 162.76174  13.83605
 162.93041  13.87952
 163.09907  13.92313
 163.26774  13.96688
 163.43640  14.01079
 163.60507  14.05483
 163.77373  14.09903
 163.94240  14.14337
 164.11106  14.18787
 164.27973  14.23251
 164.44839  14.27730
 164.61706  14.32223
 164.78572  14.36732
 164.95439  14.41256
 165.12305  14.45795
 165.29172  14.50350
 165.46038  14.54919
 165.62905  14.59504
 165.79771  14.64104
 165.96638  14.68719
 166.13504  14.73350
 166.30371  14.77996
 166.47237  14.82658
 166.64104  14.87336
 166.80970  14.92029
 166.97837  14.96738
 167.14703  15.01463
 167.31570  15.06203
 167.48436  15.10959
 167.65303  15.15731
 167.82169  15.20520
 167.99036  15.25324
 168.15902  15.30144
 168.32769  15.34981
 168.49635  15.39833
 168.66502  15.44702
 168.83368  15.49588
 169.00235  15.54489
 169.17101  15.59407
 169.33968  15.64342
 169.50834  15.69293
 169.67701  15.74260
 169.84567  15.79245
 170.01434  15.84246
 170.18300  15.89264
 170.35167  15.94298
 170.52033  15.99350
 170.68900  16.04418
 170.85766  16.09504
 171.02633  16.14607
 171.19499  16.19726
 171.36366  16.24863
 171.53232  16.30017
 171.70099  16.35189
 171.86965  16.40378
 172.03832  16.45584
 172.20698  16.50808
 172.37565  16.56049
 172.54431  16.61308
 172.71298  16.66585
 172.88164  16.71879
 173.05031  16.77191
 173.21897  16.82521
 173.38764  16.87869
 173.55630  16.93235
 173.72497  16.98619
 173.89363  17.04021
 174.06230  17.09441
 174.23096  17.14880
 174.39963  17.20336
 174.56829  17.25812
 174.73696  17.31305
 174.90562  17.36817
 175.07429  17.42348
 175.24295  17.47897
 175.41162  17.53465
 175.58028  17.59052
 175.74895  17.64657
 175.91761  17.70282
 176.08628  17.75925
 176.25494  17.81588
 176.42361  17.87269
 176.59227  17.92970
 176.76094  17.98690
 176.92960  18.04429
 177.09827  18.10187
 177.26693  18.15965
 177.43560  18.21763
 177.60426  18.27580
 177.77293  18.33416
 177.94159  18.39272
 178.11026  18.45149
 178.27892  18.51044
 178.44759  18.56960
 178.61625  18.62896
 178.78492  18.68852
 178.95358  18.74828
 179.12225  18.80824
 179.29091  18.86840
 179.45958  18.92877
 179.62824  18.98934
 179.79691  19.05012
 179.96557  19.11110
 180.13424  19.17228
 180.30290  19.23368
 180.47157  19.29528
 180.64023  19.35709
 180.80890  19.41911
 180.97756  19.48134
 181.14623  19.54377
 181.31489  19.60643
 181.48356  19.66929
 181.65222  19.73236
 181.82089  19.79565
 181.98955  19.85915
 182.15822  19.92287
 182.32688  19.98681
 182.49555  20.05096
 182.66421  20.11532
 182.83288  20.17991
 183.00154  20.24471
 183.17021  20.30974
 183.33887  20.37498
 183.50754  20.44044
 183.67620  20.50613
 183.84487  20.57204
 184.01353  20.63817
 184.18220  20.70453
 184.35086  20.77111
 184.51953  20.83792
 184.68819  20.90496
 184.85686  20.97222
 185.02552  21.03971
 185.19419  21.10743
 185.36285  21.17538
 185.53152  21.24356
 185.70018  21.31197
 185.86885  21.38061
 186.03751  21.44949
 186.20618  21.51860
 186.37484  21.58794
 186.54351  21.65752
 186.71217  21.72734
 186.88084  21.79739
 187.04950  21.86769
 187.21817  21.93822
 187.38683  22.00899
 187.55550  22.08000
 187.72416  22.15125
 187.89283  22.22275
 188.06149  22.29448
 188.23016  22.36647
 188.39882  22.43869
 188.56749  22.51117
 188.73615  22.58389
 188.90482  22.65685
 189.07348  22.73007
 189.24215  22.80353
 189.41081  22.87724
 189.57948  22.95121
 189.74814  23.02543
 189.91681  23.09990
 190.08547  23.17462
 190.25414  23.24960
 190.42280  23.32483
 190.59147  23.40032
 190.76013  23.47607
 190.92880  23.55207
 191.09746  23.62833
 191.26613  23.70486
 191.43479  23.78164
 191.60346  23.85869
 191.77212  23.93600
 191.94079  24.01357
 192.10945  24.09141
 192.27812  24.16951
 192.44678  24.24788
 192.61545  24.32652
 192.78411  24.40542
 192.95278  24.48459
 193.12144  24.56404
 193.29011  24.64375
 193.45877  24.72374
 193.62744  24.80400
 193.79610  24.88454
 193.96477  24.96535
 194.13343  25.04643
 194.30210  25.12780
 194.47076  25.20944
 194.63943  25.29136
 194.80809  25.37356
 194.97676  25.45604
 195.14542  25.53880
 195.31409  25.62185
 195.48275  25.70518
 195.65142  25.78879
 195.82008  25.87269
 195.98875  25.95688
 196.15741  26.04136
 196.32608  26.12612
 196.49474  26.21117
 196.66341  26.29652
 196.83207  26.38216
 197.00074  26.46809
 197.16940  26.55431
 197.33807  26.64083
 197.50673  26.72765
 197.67540  26.81476
 197.84406  26.90218
 198.01273  26.98989
 198.18139  27.07790
 198.35006  27.16621
 198.51872  27.25483
 198.68739  27.34375
 198.85605  27.43297
 199.02472  27.52250
 199.19338  27.61234
 199.36205  27.70249
 199.53071  27.79294
 199.69938  27.88371
 199.86804  27.97478
 200.03671  28.06617
 200.20537  28.15787
 200.37404  28.24989
 200.54270  28.34222
 200.71137  28.43487
 200.88003  28.52784
 201.04870  28.62113
 201.21736  28.71473
 201.38603  28.80866
 201.55469  28.90291
 201.72336  28.99749
 201.89202  29.09239
 202.06069  29.18761
 202.22935  29.28317
 202.39802  29.37905
 202.56668  29.47526
 202.73535  29.57180
 202.90401  29.66867
 203.07268  29.76588
 203.24134  29.86342
 203.41001  29.96130
 203.57867  30.05951
 203.74734  30.15806
 203.91600  30.25695
 204.08467  30.35618
 204.25333  30.45575
 204.42200  30.55566
 204.59066  30.65592
 204.75933  30.75652
 204.92799  30.85747
 205.09666  30.95877
 205.26532  31.06041
 205.43399  31.16241
 205.60265  31.26476
 205.77132  31.36746
 205.93998  31.47051
 206.10865  31.57392
 206.27731  31.67768
 206.44598  31.78180
 206.61464  31.88628
 206.78331  31.99113
 206.95197  32.09633
 207.12064  32.20189
 207.28930  32.30782
 207.45797  32.41412
 207.62663  32.52078
 207.79530  32.62781
 207.96396  32.73521
 208.13263  32.84298
 208.30129  32.95112
 208.46996  33.05963
 208.63862  33.16852
 208.80729  33.27779
 208.97595  33.38743
 209.14462  33.49745
 209.31328  33.60785
 209.48195  33.71863
 209.65061  33.82980
 209.81928  33.94134
 209.98794  34.05328
 210.15661  34.16560
 210.32527  34.27831
 210.49394  34.39141
 210.66260  34.50490
 210.83127  34.61878
 210.99993  34.73305
 211.16860  34.84772
 211.33726  34.96279
 211.50593  35.07826
 211.67459  35.19412
 211.84326  35.31039
 212.01192  35.42705
 212.18059  35.54412
 212.34925  35.66160
 212.51792  35.77948
 212.68658  35.89778
 212.85525  36.01648
 213.02391  36.13559
